"Title","Type","Availability","MSRP Currency","MSRP","Show Price Currency","Show Price","Publisher","Location","Priority","Notes","Thumbs","BGGId","BGGVersionId","Mfg Product Code","Release Date","Override Release Date","Events"
"Fairy Ring","Standalone","For Sale","USD",35,"N/A","N/A","Repos Production","809 (Asmodee)","N/A","N/A",10,"419074","710194","","2024-09-13","",""
"Tree Society","Standalone","For Sale","USD",35,"N/A","N/A","Next Move Games","809 (Asmodee)","N/A","N/A",19,"423698","718843","","2024-10-04","",""
"Western Legends Stories","Standalone","Demo","N/A","N/A","N/A","N/A","Kolossal Games","2211 (Surfin' Meeple)","N/A","N/A",16,"420894","713683","","2025-00-00","",""
"Button Kingdoms","Standalone","Demo","N/A","N/A","N/A","N/A","Around the Stump Games LLC","632 (Indie Game Alliance)","N/A","N/A",12,"411932","698202","","0000-00-00","Q4 2025",""
"Prestige: A City Building Game","Standalone","Demo","N/A","N/A","N/A","N/A","Kingdoms of the Earth","2860 (New Kingdom Gaming)","N/A","N/A",7,"368678","627434","","2024-12-00","",""
"Buru","Standalone","For Sale","N/A","N/A","N/A","N/A","Crafty Games","1217","N/A","N/A",15,"316312","520733","CFG16001","2024-02-28","",""
"Buru: Ambelau","Expansion","For Sale","N/A","N/A","N/A","N/A","Crafty Games","1217","N/A","N/A",8,"329675","548365","CFG16002","2024-02-28","",""
"Sardegna","Standalone","For Sale","N/A","N/A","N/A","N/A","Crafty Games","1217","N/A","N/A",16,"15600","705103","","2024-00-00","Q3 2024",""
"Tabriz","Standalone","Demo","N/A","N/A","N/A","N/A","Crafty Games","1217","N/A","N/A",22,"349369","584157","CFG15007","2024-00-00","Q4 2024",""
"Ship Show","Standalone","For Sale","USD",30,"N/A","N/A","Ultra PRO","701","N/A","N/A",7,"424272","719851","11233","2024-08-01","",""
"Very Bad Lands: T-Rex","Standalone","Demo","N/A","N/A","N/A","N/A","Randolph","2435 (Hachette Boardgames)","N/A","N/A",21,"422693","717059","RANVBLTR01EN","0000-00-00","Q4 2024",""
"Very Bad Lands: Brachio","Standalone","Demo","N/A","N/A","N/A","N/A","Randolph","2435 (Hachette Boardgames)","N/A","N/A",26,"422692","717057","RANVBLB01EN","0000-00-00","Q4 2024",""
"Link City","Standalone","For Sale","USD",25,"N/A","N/A","Blue Orange Games","1901","N/A","N/A",13,"421199","717709","09086","2024-00-00","",""
"Shadow House: Masquerade","Standalone","For Sale","USD",14,"N/A","N/A","Blue Orange Games","1901","N/A","N/A",11,"400268","720734","09088","2024-08-00","",""
"Next Station: Paris","Standalone","For Sale","USD",20,"N/A","N/A","Blue Orange Games","1901","N/A","N/A",37,"403116","684149","","2024-08-00","",""
"Skyrockets: Festivals of Fire","Standalone","For Sale","USD",30,"N/A","N/A","Floodgate Games","439","N/A","N/A",22,"398684","676887","FGG-SKY","2024-01-00","",""
